index	table_id	annotator_id	premise	hypothesis	label
7102	T1132	GW17	 The spouse(s) of Bruce Willis is Demi Moore , ( m. 1987;  div. 2000) , Emma Heming ,  ( m. 2009).  Bruce Willis was born as Walter Bruce Willis ,  (1955-03-19) March 19, 1955 (age 63) , Idar-Oberstein, Rhineland-Palatinate, West Germany.  The number of children of Bruce Willis are 5, including Rumer Willis.   The home town of Bruce Willis is Penns Grove, New Jersey, U.S.. 	Bruce Willis is over 6 feet tall.	1
4706	T726	GW14	 The influences of Sir David Brewster are Isaac Newton,  Etienne-Louis  Malus.  The influenced of Sir David Brewster is James David Forbes.   The citizenship of Sir David Brewster is Great Britain.  Sir David Brewster was known for Physical optics,  Brewster's angle,  photoelasticity,  stereoscope,  kaleidoscope. 	James David Forbes is known for discovering Brewster's angle.	0
6637	T1076	GW28	 Jay & Silent Bob has a Irregular schedule.  The format of Jay & Silent Bob is Miniseries.  The publication date of Jay & Silent Bob was on July 1998 - October 1999.  The no. of issues of Jay & Silent Bob is 4.  	Jay & Silent Bob was a monthly serial that ran for a decade.	0
11020	T1834	GW4	 Into the Great Wide Open was released on July 2, 1991.  Into the Great Wide Open was recorded on 1991.  The studio of Into the Great Wide Open are Rumbo Recorders, Studio C, Canoga Park, California, M.C. Studios.  The length of Into the Great Wide Open is 43 : 55. 	Into the Great Wide Open was over an hour in length	0
11932	T1962	GW93	 The total area of Hoboken, New Jersey is 2.011 sq mi (5.208 km 2 ).  The land area of Hoboken, New Jersey is 1.275 sq mi (3.303 km 2 ).  The water area of Hoboken, New Jersey is 0.736 sq mi (1.905 km 2 ) 36.58%.  The elevation of Hoboken, New Jersey is 26 ft (8 m).  	Hoboken, New Jersey is at 50 meter elevation.	0
8038	T1261	GW40	 The academic staff of University of Utah is 3,421 (Fall 2015).  The students of University of Utah is 32,994 (Fall 2018).  The undergraduates of University of Utah is 24,735 (Fall 2018).  The campus of University of Utah is Urban , 1,534 acres (6.21 km 2 ). 	The University of Utah has over 32,994 students on its campus.	1
5015	T843	GW51	 Deadpool was directed by Tim Miller.  Deadpool was produced by Simon Kinberg, Ryan Reynolds, Lauren Shuler Donner.  Deadpool was written by Rhett Reese, Paul Wernick.  Deadpool was starring Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Brianna Hildebrand. 	Deadpool was written and directed by Ryan Reynolds.	0
10068	T1648	GW85	 Jonas Brothers was also known as JB, JoBros.  The origin of Jonas Brothers is Wyckoff, New Jersey, U.S..  The associated acts of Jonas Brothers are Demi Lovato, Nick Jonas &amp; the Administration, DNCE.  The website of Jonas Brothers is jonasbrothers .com.  	Jonas Brothers are not actually related at all.	1
974	T142	GW1	 The born of Sir John Harington is Kelston, Somerset, England.  The baptised of Sir John Harington was on 4 August 1560.  Sir John Harington died on 20 November 1612 (aged 52)  Kelston, Somerset, England.  The number of children of Sir John Harington are 9. 	Sir John Harington only lived in the 16th century.	0
1254	T185	GW0	 Far East Movement is a musician.  The genres of Far East Movement are Hip hop ,  pop ,  EDM.  The labels of Far East Movement are Cherrytree ,  Interscope ,  Delicious Deli ,  Spinnin' ,  Transparent Agency ,   E1.  The associated acts of Far East Movement are Stereotypes ,  Flo Rida ,  Sidney Samson ,  Cherry Cherry Boom Boom ,  Jin ,  Ken Oak ,  The Cataracs ,  Dev ,  Ryan Tedder ,  Snoop Dogg ,  Frankmusik ,  Colette Carr ,  Natalia Kills ,  Cover Drive ,  Justin Bieber ,  Redfoo ,  Riff Raff ,  Skrillex ,  Diplo ,  Afrojack ,  Marshmello ,  Tinashe ,  Chanyeol ,  Hyolyn ,  Tiffany. 	Far East Movement is known for making classical music.	0
2308	T360	GW30	 Charles (Prince of Wales) is a person.  Charles (Prince of Wales) was born on 14 November 1948 ( 1948-11-14 )   (age 70)  Buckingham Palace, London, England.  The spouse of Charles (Prince of Wales) are Lady Diana Spencer ( m.   1981 ;  div.   1996 )  , Camilla Parker Bowles  ( m.   2005 ).  The issue of Charles (Prince of Wales) are Prince William, Duke of Cambridge , Prince Harry, Duke of Sussex.  	Prince Charles was born in the Buckingham Palace and is married to Camilla Parker Bowles since 2005.	2
14555	T2498	GW126	 The key people of Paladin Group is Craig Thrupp, Ian Stewart, Kisokau Powaseu, Patrick Barrett.  The owner of Paladin Group is Craig Thrupp.  The number of number of employees of Paladin Group is 4500 (2019).  The industry of Paladin Group is Private security, other services. 	The Paladin Group Number of employees is 4500 (2019)	2
5768	T958	GW28	 The species of Chaser is Dog.  The sex of Chaser is Female.  The nation from of Chaser is American.  The title of Chaser is The Smartest Dog In The World. 	Chaser is an American female dog.	2
13582	T2390	GW111	 Women's artistic team all-around at the Games of the XXVI Olympiad is a sports event.  The venue of Women's artistic team all-around at the Games of the XXVI Olympiad is Georgia Dome.  The date of Women's artistic team all-around at the Games of the XXVI Olympiad is July 21-23, 1996.  The competitors of Women's artistic team all-around at the Games of the XXVI Olympiad is 82 from 12 nations.  	There were 85 competitors on the women's artistic team in 1996.	0
1427	T212	GW0	 The incumbent of The Right Honourable Justin Trudeau PC MP was on Assumed office April 14, 2013.  The president of The Right Honourable Justin Trudeau PC MP is Mike Crawley Anna Gainey Suzanne Cowan.  The deputy of The Right Honourable Justin Trudeau PC MP is Ralph Goodale.  The preceded by of The Right Honourable Justin Trudeau PC MP is Bob Rae ( ad interim ).  	Justin Trudeau personally appointed Ralph Goodale.	1
14624	T2506	GW107	 The residence of Ron S. Geffner is New York City, United States.  The nationality of Ron S. Geffner is American.  The alma mater of Ron S. Geffner is Rutgers University ,  Benjamin N. Cardozo School of Law.  The occupation of Ron S. Geffner is lawyer. 	Ron S. Geffner has graduated college.	2
11688	T1930	GW93	 Hypnotize was released on November 22, 2005.  The studio of Hypnotize are The Mansion (Los Angeles, California), Akademie Mathematique of Philosophical Sound Research  (Los Angeles, California).  The label of Hypnotize is Columbia.  The producer of Hypnotize are Rick Rubin, Daron Malakian.  	Hypnotize was only popular in the USA.	1
12648	T2286	GW119	 The other names of Colby is Longhorn, Colby Cheddar.  The country of origin of Colby is United States.  The region, town of Colby is Colby, Wisconsin.  The aging time of Colby is None. 	Colby is no longer produced in Colby, Wisconsin.	1
15090	T2557	GW118	 The in office of General Romualdo Palacios González was on 23 March 1887 – 11 November 1887.  The preceded by of General Romualdo Palacios González is Luis Daban y Ramírez de Arellano.  General Romualdo Palacios González was born on 8 February 1827  , Malaga, Spain .  General Romualdo Palacios González died on 7 September 1907 (1907-09-08) (aged 80) , Getafe, Madrid, Spain. 	General Romualdo Palacios González was born on 8 February 1837	1
9471	T1514	GW4	 Juliette Lewis is a person.  Juliette Lewis was born on ( 1973-06-21 )  June 21, 1973  (age 45)   Los Angeles, California, U.S..  The years active of Juliette Lewis is 1987-present.  The spouse(s) of Juliette Lewis is Steve Berra ( m.  1999;  div.  2003). 	Juliette Lewis has been dating someone since since 2003.	1
7724	T1218	GW72	 The most titles (female) of Last completed is 4  ,  Daphne Akhurst Cozens  ,  Nell Hall Hopman  ,  Nancye Wynne Bolton  ,  Thelma Coyne Long.   Last completed was location on Melbourne (since 1972) , Australia.  The venue of Last completed is Melbourne Park (since 1988).  Last completed was surface on Grass - outdoors (1905-1987) , Hard - outdoors (since 1988). 	The Australian Open is played on grass only	0
1612	T583	GW2	 The location of City2Surf is Sydney CBD to Bondi Beach.  The primary sponsor of City2Surf are The Sun-Herald, Westpac.  City2Surf was established on 5 September 1971.  City2Surf was course records on Men : 40:02.46 (1991) by Steve Moneghetti, Women : 45:08 (2001) by Susie Power. 	City2Surf was established while Nixon was president of the U.S.	2
26	T3	GW4	 Hazelnuts or filberts, raw is a food&drink.  The vitamins of Hazelnuts or filberts, raw is Quantity     %DV.  The sugars of Hazelnuts or filberts, raw is 4.34 g.  The fat of Hazelnuts or filberts, raw is 60.75 g. 	A bag of Hazelnuts is known for being very sweet.	0
13954	T2431	GW1	 Herbert Hoover is a person.  The president of Herbert Hoover is Woodrow Wilson.  The preceded by of Herbert Hoover is Position established.  The succeeded by of Herbert Hoover is Position abolished.  	Herbert Hoover was the boss of Woodrow Wilson.	0
1123	T165	GW3	 The institutions of Charles Stark Draper is Massachusetts Institute of Technology.  The doctoral advisor of Charles Stark Draper is Philip M. Morse.   The alma mater of Charles Stark Draper are Massachusetts Institute of Technology , Stanford University.  The awards of Charles Stark Draper are Magellanic Premium  (1959) ,  National Medal of Science  (1964) ,  Daniel Guggenheim Medal  (1966) ,  Rufus Oldenburger Medal  (1971) ,  Richard E. Bellman Control Heritage Award  (1981). 	Charles Stark Draper was a scientist.	2
13494	T2380	GW117	 Grand Junction, Colorado is a city.  The land area of Grand Junction, Colorado is 39.28 sq mi (101.74 km 2 ).  The water area of Grand Junction, Colorado is 0.36 sq mi (0.92 km 2 ).  The metro area of Grand Junction, Colorado is 3,341.11 sq mi (8,653 km 2 ). 	Grand Junction is the largest city in Colorado.	1
3577	T563	GW28	 Damascus is a country.  The official name of Damascus is Ancient City of Damascus.  The type of Damascus is Cultural.  The region of Damascus is Arab States.  	Damascus is an ancient city which attracts many tourists.	1
11341	T1874	GW84	 Hunter Hunter was english magazine on Weekly Shonen Jump.  The original run of Hunter Hunter was on March 3, 1998 - present.  The number of volumes of Hunter Hunter are 36  (List of volumes).   Hunter Hunter was magazine on Weekly Shonen Jump. 	Hunter Hunter has run for 36 years.	0
14507	T2493	GW107	 The metro population (2011) of Abuja is 6,000,000 (estimated).  Abuja was urban on Population (2011): 2,440,000 , Area: 713 km2 (275 sq mi).  Abuja was municipality on Population (2011): 1,235,880 , Area: 1,769 km2 (683 sq mi).  The density of Abuja is 700/km 2  (1,800/sq mi). 	There are over 1 million people living in Abuja.	2
11825	T1949	GW85	 Ill Communication is a album.  Ill Communication was released on May 31, 1994 .  Ill Communication was recorded on 1993-1994.  The label of Ill Communication are Capitol, Grand Royal. 	Ill Communication was released in 1994.	2
10496	T1753	GW85	 The associated acts of Hozier is Mavis Staples.  The birth name of Hozier is Andrew Hozier-Byrne.  Hozier was born on 17 March 1990  (age 28)  Bray, County Wicklow, Ireland.  The labels of Hozier are Rubyworks, Island, Columbia. 	Hozier real name is Andrew Hozier-Byrne	2
13621	T2394	GW52	 Women's artistic individual all-aroundat the Games of the XXX Olympiad is a sports event.  The venue of Women's artistic individual all-aroundat the Games of the XXX Olympiad is North Greenwich Arena.  The date of Women's artistic individual all-aroundat the Games of the XXX Olympiad is 2 August.  The competitors of Women's artistic individual all-aroundat the Games of the XXX Olympiad is 28 from 21 nations.  	Women's artistic individual all-around at the Games of the XXX Olympiad had one competitor for each nation.	0
239	T37	GW3	 Chris Cornell was born on July 20, 1964 ( 1964-07-20 ) Seattle, Washington, U.S..  Chris Cornell died on May 18, 2017 (2017-05-18)  (aged 52)  Detroit, Michigan, U.S..  The cause of death of Chris Cornell is Suicide by hanging.  The associated acts of Chris Cornell are Soundgarden , Audioslave , Pearl Jam , Temple of the Dog , Center for Disease Control Boys , Alice Mudgarden , M.A.C.C. , Heart , Mad Season. 	Chris Cornell died from a heart attack.	0
15985	T2658	GW13	 The education of Phiwa Nkambule are University of Pretoria, CFA Institute, Global Association of Risk Professionals, Cefups Academy.  The occupation of Phiwa Nkambule are Internet Entrepreneur, Software Engineer, Businessperson, Financial Risk Manager.  Phiwa Nkambule was known for Riovic, Cybatar.  The board member of of Phiwa Nkambule is Royal Science and Technology Park (Swazi research & development public enterprise). 	Phiwa Nkambule is known for his work with Microsoft.	0
8900	T1378	GW72	 The postgraduates of Indian Institute of Technology Bombay is 5472.  The type of Indian Institute of Technology Bombay is Public engineering school.  The academic staff of Indian Institute of Technology Bombay is 603.  Indian Institute of Technology Bombay was undergraduates on 4179. 	There are more Undergraduates than postgraduates at Indian Institute of Technology Bombay	0
7579	T1201	GW72	 The awards of Casey Affleck is Full List.   The alma mater of Casey Affleck is Columbia University.  The occupation of Casey Affleck are Actor, Director.  The years active of Casey Affleck is 1988-present. 	Casey Affleck has won awards as a director	1
8423	T1317	GW22	 The type of Angkor Wat is Cultural.  Angkor Wat was designated on 1992 (16th session).  The region of Angkor Wat is Asia and the Pacific.   The cultures of Angkor Wat is Khmer Empire. 	Angkor Wat was designated in 1993 as UNESCO World Heritage Site.	0
6635	T1076	GW28	 Jay & Silent Bob is a book.  The publisher of Jay & Silent Bob is Oni Press.  The publication date of Jay & Silent Bob was on July 1998 - October 1999.  The no. of issues of Jay & Silent Bob is 4.  	Jay & Silent Bob was a 20th century publication with a brief run.	2
9475	T1514	GW74	 Juliette Lewis is a person.  Juliette Lewis was born on ( 1973-06-21 )  June 21, 1973  (age 45)   Los Angeles, California, U.S..  The years active of Juliette Lewis is 1987-present.  The spouse(s) of Juliette Lewis is Steve Berra ( m.  1999;  div.  2003). 	Juliette Lewis has been active in her career since age 12.	0
8814	T1367	GW17	 The workmaster of Bouquet of Lilies Clock Fabergé egg is Michael Perkhin.  The materials used of Bouquet of Lilies Clock Fabergé egg is onyx, diamonds, gold, silver, platinum.  The height of Bouquet of Lilies Clock Fabergé egg is 27 centimetres (11 in).  The surprise of Bouquet of Lilies Clock Fabergé egg is ruby pendant with rose-cut diamonds.  	The Bouquet of Lilies Clock FabergŽ egg is made of gold.	2
3010	T483	GW28	 Ck vodka is a food&drink.  The introduced of Ck vodka is Inspired by a type of Polish vodka from 1886.  The alcohol by volume of Ck vodka is 40%.  The proof (us) of Ck vodka is 80. 	More than half of Ck vodka is composed of alcohol.	0
3073	T492	GW11	 Dallas Buyers Club was distributed by Focus Features.  The running time of Dallas Buyers Club is 117 minutes.  Dallas Buyers Club was starring Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare, Steve Zahn, Dallas Roberts.  The cinematography of Dallas Buyers Club was by Yves Belanger. 	Dallas Buyers Club was award winning.	1
11456	T1896	GW84	 Hiphop Tamizha is a person.  The born of Hiphop Tamizha are Adhi -  20 February 1990  (age 28), Jeeva - 29 June 1991  (age 27).  The occupation(s) of Hiphop Tamizha are Independent musician, rapper, lyricist, singer, music director, director, actor, writer, screenplay writer.  The years active of Hiphop Tamizha was on 2005 - present.  	Hiphop Tamizha has two members, both in their twenties.	2
5753	T956	GW28	 The other work of Cher Ami is Department of Service mascot.   The allegiance of Cher Ami is United States of America.  The service/branch of Cher Ami is United States Army.  The years of service of Cher Ami was on 1914 - 1918. 	Cher Ami was an American animal in the service of the US military.	2
6942	T1114	GW35	 Brittany Murphy was born as Brittany Anne Bertolotti , (1977-11-10)November 10, 1977 , Atlanta, Georgia, U.S..  Brittany Murphy died on December 20, 2009(2009-12-20) (aged 32) , Los Angeles, California, U.S..  The resting place of Brittany Murphy is Forest Lawn Memorial Park (Hollywood Hills) , 34°08′39″N 118°19′11″W﻿ / ﻿34.14414°N 118.31979°W﻿ / 34.14414; -118.31979.  The spouse(s) of Brittany Murphy is Simon Monjack ( m. 2007).  	Brittany Murphy married at the age of 30.	2
9256	T1447	GW84	 The spouse(s) of Judy Garland are David Rose ( m.   1941 ;  div.  1944) , Vincente Minnelli ( m.   1945 ;  div.  1951), Sidney Luft ( m.   1952 ;  div.   1965 ), Mark Herron ( m.   1965 ;  div.  1969), Mickey Deans  ( m.   1969 ).  The number of children of Judy Garland are 3, including Liza Minnelli and Lorna Luft.  The birth name of Judy Garland is Frances Ethel Gumm.  Judy Garland was born on June 10, 1922  Grand Rapids, Minnesota, U.S.. 	Judy Garland's children are all for Sidney Luft.	1
7998	T1255	GW22	 The presented by of Nobel Peace Prize is Norwegian Nobel Committee on behalf of the estate of Alfred Nobel.  Nobel Peace Prize was first awarded on 10 December 1901; 117 years ago (1901-12-10).  The currently held by of Nobel Peace Prize is Denis Mukwege and Nadia Murad (2018).  The most awards of Nobel Peace Prize is International Committee of the Red Cross (3). 	Nobel Peace Prize is presented by Norwegian Nobel Committee on behalf of the estate of Alfred Nobel.	2
4388	T677	GW51	 Denzel Washington is a person.  Denzel Washington was born as Denzel Hayes Washington Jr. ,  (1954-12-28) December 28, 1954 (age 64) , Mount Vernon, New York, U.S..  The occupation of Denzel Washington is Actor, director, producer.  The number of children of Denzel Washington are 4, including John David Washington.  	Denzel Washington is a famous American actor and director.	2
7325	T1162	GW27	 The variants of Boeing 757 is Boeing C-32.   The manufacturer of Boeing 757 is Boeing Commercial Airplanes.  Boeing 757 was introduction on January 1, 1983, with Eastern Air Lines.  The primary users of Boeing 757 are Delta Air Lines ,  FedEx Express, United Airlines, UPS Airlines. 	The Boeing 757 has more variants than companies that use it.	0
3324	T522	GW33	 The breeder of Danzig is Derry Meeting Farm and William S. Farish III.  The owner of Danzig is Henryk de Kwiatkowski.  The dam of Danzig is Pas de Nom.  The earnings of Danzig is $32,400.  	Danzig is owned by Henryk de Kwiatkowski	2
16241	T2687	GW123	 The alma mater of Martin Edward Newell is University of Utah.  Martin Edward Newell was known for Utah Teapot , Newell's algorithm.  The institutions of Martin Edward Newell is CADCentre , University of Utah , Xerox PARC , Ashlar , Adobe.  The thesis of Martin Edward Newell is The Utilization of Procedure Models in Digital Image Synthesis  (1975). 	Martin Edward Newell is Known for Utah Teapot Newell's algorithm	2
4334	T672	GW12	 The origin of Cream is London, England.  The years active of Cream was on 1966 (1966)-1968, 2005, (one-off reunion: 1993).  The labels of Cream are Reaction, Polydor, Atco, RSO, Reprise.  The associated acts of Cream are Powerhouse, the Graham Bond Organisation, John Mayall's Bluesbreakers, Blind Faith, Bruce-Baker-Moore.  	Cream was associated with the act of Bruce-Baker-Moore during their active years.	2
10169	T1679	GW84	 Joseph Goebbels was born on 29 October 1897 Rheydt, Rhine Province, Kingdom of Prussia, German Empire.  The birth name of Joseph Goebbels is Paul Joseph Goebbels.  Joseph Goebbels died on 1 May 1945 (1945-05-01)  (aged 47) Berlin, Nazi Germany.  The children of Joseph Goebbels are Helga, Hildegard, Helmut, Holdine, Hedwig, Heidrun, See also: Goebbels children. 	Joseph Goebbels went by his middle name.	2
9736	T1578	GW74	 John Lydon was also known as Johnny Rotten.  John Lydon was born on ( 1956-01-31 )  31 January 1956  (age 62)  Holloway, London, England.  The occupation(s) of John Lydon are Singer, songwriter, musician, actor.  The years active of John Lydon is 1975-present. 	John Lydon began his career when he was 15.	0
8643	T1347	GW27	 The type of Precedence is Medal.  The next (higher) of Precedence is Maha Vir Chakra.  The awarded for of Precedence is Acts of gallantry in the presence of the enemy, whether on land or at sea or in the air..  The next (lower) of Precedence is Shaurya Chakra.  	The majority of Vir Chakra medals have been given posthumously.	0
2125	T326	GW0	 By the Way was recorded on November 2001 - May 2002.  The studio of By the Way is Cello Studios and Chateau Marmont in Los Angeles.  The label of By the Way is Warner Bros..  The producer of By the Way is Rick Rubin.  	Rick Rubin produces most of his records at Cello Studios.	1
10850	T1811	GW96	 In the Heart of the Sea was directed by Ron Howard.  In the Heart of the Sea was produced by Brian Grazer, Ron Howard, Will Ward, Joe Roth, Paula Weinstein.  In the Heart of the Sea was based on In the Heart of the Sea  by Nathaniel Philbrick.  In the Heart of the Sea was starring Chris Hemsworth, Benjamin Walker, Cillian Murphy, Tom Holland, Ben Whishaw, Brendan Gleeson. 	Ron Howard directed a movie based on a novel by Nathaniel Philbrick.	2
1247	T185	GW3	 The genres of Far East Movement are Hip hop ,  pop ,  EDM.  The years active of Far East Movement was on 2003 - present.  The labels of Far East Movement are Cherrytree ,  Interscope ,  Delicious Deli ,  Spinnin' ,  Transparent Agency ,   E1.  The associated acts of Far East Movement are Stereotypes ,  Flo Rida ,  Sidney Samson ,  Cherry Cherry Boom Boom ,  Jin ,  Ken Oak ,  The Cataracs ,  Dev ,  Ryan Tedder ,  Snoop Dogg ,  Frankmusik ,  Colette Carr ,  Natalia Kills ,  Cover Drive ,  Justin Bieber ,  Redfoo ,  Riff Raff ,  Skrillex ,  Diplo ,  Afrojack ,  Marshmello ,  Tinashe ,  Chanyeol ,  Hyolyn ,  Tiffany. 	The Far East Movement has commercial interest.	1
5856	T968	GW51	 Campbell's Soup Cans is a painting.  The artist of Campbell's Soup Cans is Andy Warhol.  The medium of Campbell's Soup Cans is Synthetic polymer paint on canvas.  The location of Campbell's Soup Cans is Museum of Modern Art. Acquired through the Lillie P. Bliss Bequest, New York , (32 canvas series displayed by year of introduction). 	Campbell's Soup Cans was painted as an advertisement stunt for Campbell's Soup.	1
14511	T2493	GW126	 Abuja was municipality on Population (2011): 1,235,880 , Area: 1,769 km2 (683 sq mi).  Abuja was urban on Population (2011): 2,440,000 , Area: 713 km2 (275 sq mi).  Abuja was incorporated on 1 October 1984.  Abuja was declared capital on 12 December 1991. 	The Abuja Municipality Incorporated on 2 October 1985.	1
9570	T1538	GW1	 John Dopyera was born on July 6, 1893  Sastin-Straze, Austro-Hungarian Empire).  The birth name of John Dopyera is Jan Dopjera.  John Dopyera died on Jan 3, 1988 (aged 94)  Grants Pass, Oregon, USA.  The years active of John Dopyera was on 1926-1988.  	J‡n Dopjera changed his name to John later in life.	1
9658	T1559	GW28	 Josephine Baker was born on 3 June 1906  St. Louis, Missouri, U.S..  The partner(s) of Josephine Baker is Robert Brady  (1973-75).  Josephine Baker died on 12 April 1975 (1975-04-12)  (aged 68)  Paris.  The nationality of Josephine Baker are American (renounced), French (from 1937). 	She was an American until twenties.	0
15619	T2617	GW120	 The nickname(s) of Faisalabad is The Manchester of Pakistan.  The founded by of Faisalabad is Sir James Broadwood Lyall.  The official language of Faisalabad is Urdu.  The rank of Faisalabad is 3rd, Pakistan (Population (2017)). 	Faisalabad is called as The Manchester of India.	0
9209	T1425	GW84	 Josh Brolin was born on February 12, 1968  (age 50)   Santa Monica, California, U.S..  The birth name of Josh Brolin is Josh James Brolin.  The spouse(s) of Josh Brolin are Alice Adair ( m.  1988;  div.  1994), Diane Lane ( m.  2004;  div.  2013), Kathryn Boyd ( m.  2016).  The parent(s) of Josh Brolin are James Brolin  (father), Jane Cameron Agee  (mother).  	Josh Brolin was most recently married to Diane Lane.	0
15577	T2613	GW116	 The release date of The Commitments are 6 August 1991 (1991-08-06) (West Hollywood), 14 August 1991 (1991-08-14) (United States).  The running time of The Commitments is 118 minutes.  The budget of The Commitments is $12-15 million.  In the box office, The Commitments made $14.9 million.  	The Commitments had 4 directors.	0
14397	T2480	GW107	 The latest race of Richard Petty Motorsports is Monster Energy NASCAR Cup Series  , 2007 Pennsylvania 500 (as Evernham Motorsports) , 2008 Ford 400 (as Gillett Evernham Motorsports) , 2019 Ford EcoBoost 400 (Homestead) ,  Xfinity Series  , 2016 Hisense 4K TV 300 (Charlotte) ,  Craftsman Truck Series  , 2006 Ford 200 (Homestead).  The drivers' championships of Richard Petty Motorsports is Total : 0 ,  Monster Energy NASCAR Cup Series : 0 ,  Xfinity Series : 0 ,  Craftsman Truck Series : 0.  The manufacturer of Richard Petty Motorsports is Chevrolet.  The debut of Richard Petty Motorsports is Monster Energy NASCAR Cup Series  , 2000 Chevrolet Monte Carlo 400 (Richmond) (as Evernham Motorsports) , 2007 Centurion Boats at the Glen (Watkins Glen) (as Gillett Evernham Motorsports) , 2009 Daytona 500 (Daytona) (as Richard Petty Motorsports) ,  Xfinity Series  , 2003 Target House 200 (Rockingham) (as Evernham Motorsports) , 2009 NAPA Auto Parts 200 (Circuit Gilles Villeneuve) (as Richard Petty Motorsports) ,  Craftsman Truck Series  , 2006 GM Flex Fuel 250 (Daytona). 	Richard Petty Motorsports is the only team that drives Chevrolet cars.	1
6094	T1001	GW27	 The product type of Caramello Koala is Confectionery.  The owner of Caramello Koala is Cadbury Australia.  The country of Caramello Koala is Australia.  The markets of Caramello Koala is Australia. 	Caramello Koala's chief market is different from its home country.	0
14667	T2510	GW110	 Masashi Kishimoto was born on (1974-11-08) November 8, 1974 (age 45) , Nagi, Japan.  The residence of Masashi Kishimoto is Okayama, Japan.  Masashi Kishimoto was known for Naruto, Samurai 8: The Tale of Hachimaru.  The relatives of Masashi Kishimoto is Seishi Kishimoto  (twin brother). 	Masashi Kishimoto's twin brother, Seishi Kishimoto, also worked with him on Naruto Samurai 8	1
